Country,Adult Literacy Rate,ICT Service Exports,R&D Expenditure,Journal Articles,Patent Applications,Mobile Subscriptions,Fixed Broadband Subscriptions,Secure Internet Servers (per million),Secure Internet Servers (alt),Internet Users,ICT Goods Imports,High-Tech Exports,Tertiary Education Enrollment
Northern Mariana Islands,NONE,NONE,NONE,NONE,28.47645275,NONE,2037.96823427774,92.0,0.0,NONE,NONE,NONE,NONE
Mozambique,1.17961840629408,0.308140009641647,194.32,30.0,42.07158261,0.197785,37.1040304253049,1248.0,19.8,60.0,7.30147504806519,0.03,2.74244557815277
Mauritania,1.99812184858134,0.0101899998262525,26.47,NONE,113.1204131,0.285214,34.6445085168746,174.0,37.4,66.9599990844727,5.95125007629395,0.0,2.3506462344976
Mauritius,4.16476138725035,0.234009996056557,238.86,6.0,161.3582163,26.9082,2466.21640374897,3110.0,79.5,92.1500015258789,44.2026786804199,0.81,1.01453890078417
Malawi,32.3774760972951,NONE,361.73,3.0,60.12725997,0.0795566,27.6718471460233,584.0,18.0,68.0800018310547,0.851849973201752,0.23,5.31056594105904
Malaysia,9.44804679894627,0.950550019741058,26506.35,883.0,141.2923164,13.0287,8082.51982602892,283909.0,97.7,96.0,41.2618560791016,32.19,59.4155074421789
North America,7.72207482139535,3.44238604046732,526483.460852057,274038.0,110.4,38.6,172193.440396298,NONE,NONE,98.779411315918,79.1688003540039,6.46066524246911,20.5760224275586
Namibia,2.01531553489841,0.646470010280609,219.77,8.0,113.1970166,3.51953,389.457644793704,1154.0,64.4,92.25,28.8917407989502,0.21,0.0640756369249413
New Caledonia,3.30335979865087,NONE,NONE,NONE,90.34051425,19.3729,7648.25611481009,2217.0,82.0,97.3000030517578,NONE,0.51,5.267295899888
Niger,25.4590522387256,NONE,73.56,NONE,56.38600069,0.0541562,4.74008526113684,124.0,23.2,38.0999984741211,4.59342241287231,0.14,8.96675024256666
Nigeria,4.28453688122346,0.284440010786057,9408.02,410.0,101.6857635,0.0512838,47.5989986876815,10847.0,39.2,63.1555404663086,11.8107748031616,0.09,3.53042370294988
Nicaragua,18.0938961122142,0.10741999745369,41.45,1.0,97.10898703,5.43031,103.464249804319,706.0,58.2,82.6145477294922,29.5410194396973,0.03,0.804653157141111
Netherlands,9.10525983301044,2.25533008575439,34311.17,2080.0,118.0652669,43.2644,194962.867894191,3485374.0,97.0,NONE,89.3898620605469,7.49,24.1160659895902
Norway,7.98812436869198,1.55752003192902,14068.95,946.0,110.6788541,45.6645,37715.0928129859,208172.0,99.0,NONE,97.6419830322266,0.47,26.259236068581
Nepal,15.5612136767327,0.302199989557266,1699.22,20.0,127.2282803,4.83217,642.608117418196,19082.0,55.8,71.1500015258789,17.8263874053955,0.21,0.617520704475872
Nauru,NONE,NONE,0.27,NONE,79.92327366,9.95678,421.052631578947,5.0,81.7,NONE,NONE,NONE,NONE
New Zealand,7.28500561070959,1.46569001674652,9213.62,330.0,114.6898687,37.3153,18909.6513564741,98767.0,96.2,NONE,77.0104675292969,1.08,12.9543076787783
OECD members,13.7160448520852,3.02218702674159,1608166.35,NONE,122.304805090448,34.8799350889749,77348.413664628,NONE,NONE,97.1789093017578,78.3880920410156,6.82108081080317,20.7117069960674
Oman,6.40546079760669,0.367289990186691,1588.15,30.0,135.0769728,10.8793,279.446391150878,1411.0,95.3,97.0,45.5870094299316,0.51,5.00539346096146
Other small states,14.1254237082803,0.999116602922573,6978.14,NONE,124.936732236042,15.0229009243791,67087.1704056663,NONE,NONE,86.2597503662109,22.5375900268555,3.65853061472422,16.3574741906601
Pakistan,36.1601311600161,0.163749992847443,22642.68,426.0,81.74691267,1.35622,113.359557368847,28057.0,27.4,58.0,11.2206001281738,0.08,1.90280938998427
Panama,3.0318657512218,0.157910004258156,376.12,35.0,156.3065885,18.1341,2621.1329206176,11687.0,78.0,96.0,58.173511505127,17.82,1.00049164015675
Peru,2.25326346934085,0.161779999732971,4584.96,94.0,122.0264016,10.4219,749.75734671937,25376.0,79.5,94.0,71.2465515136719,0.06,5.01572012821525
Philippines,14.6860895821014,0.322219997644424,3961.49,490.0,144.0428223,6.53931,305.497725722229,35099.0,83.8,98.0,45.2818946838379,50.71,63.977928897569
Palau,0.799749798945581,NONE,6.45,NONE,132.927167,7.33345,1353.86698256896,24.0,27.0,97.0,34.618537902832,0.03,51.6836869301107
Papua New Guinea,0.146187964782598,0.031580001115799,83.33,1.0,48.42485057,0.214639,86.3360454914922,897.0,24.1,70.0636825561523,1.95492005348206,0.01,40.0540621623383
Poland,15.486615880834,1.4538300037384,37368.15,3377.0,131.9444373,26.114,37340.960521191,1369941.0,86.4,99.8000030517578,75.2911071777344,6.47,9.89435682053147
Pre-demographic dividend,6.14412760356759,NONE,33284.33,NONE,86.7805674982389,1.19081236893756,46.5255809116421,NONE,NONE,65.5718994140625,8.89290046691895,0.183783049235731,6.87009711255757
Puerto Rico,NONE,0.428829997777939,569.66,NONE,119.7930948,23.1596,464.486439897046,1489.0,87.3,92.4000015258789,81.9869689941406,NONE,NONE
"Korea, Dem. People's Rep.",NONE,NONE,263.49,6937.0,23.10188288,NONE,3.93667941999388,104.0,0.0,99.9981918334961,27.2090396881104,NONE,NONE
Portugal,8.39198080628629,1.70178997516632,19622.76,711.0,124.5494123,44.1116,28927.204260395,305997.0,85.8,96.7799987792969,75.557243347168,3.28,6.68041454594646
Paraguay,0.627197050943787,0.119439996778965,208.68,10.0,127.7049687,12.8221,643.177395689689,4402.0,78.1,95.0,37.7850494384766,0.08,10.5004049492786
West Bank and Gaza,12.2924787515386,0.454340010881424,714.58,NONE,77.60221248,7.97007,434.591131050036,2245.0,86.6,98.0,42.910831451416,0.75,1.84344953927492
Pacific island small states,4.02971288445221,NONE,275.163346837119,NONE,76.1797159429208,1.67904879323406,403.83396846079,NONE,NONE,NONE,22.5576801300049,2.67621167883212,2.17219976922915
Post-demographic dividend,9.07550263223603,3.12065340104479,1494927.61519073,NONE,124.353057874527,39.0196852558533,95192.8339277451,NONE,NONE,NONE,79.9221267700195,10.6255653260109,23.9397403699443
French Polynesia,1.51594215939767,NONE,NONE,NONE,106.9831755,27.9145,2312.19630190881,650.0,72.7,NONE,1.44537997245789,2.01,0.90861411457913
Qatar,4.29634491383363,0.680580019950867,2649.64,47.0,174.1281471,11.6411,449.542776593053,1194.0,99.7,98.0,35.0854911804199,0.0,2.78003630297901
Romania,25.7439640988509,0.45881000161171,11669.69,772.0,118.1071502,34.6617,26836.8301148211,511496.0,89.2,99.0,58.2390403747559,2.83,12.6747408327123
Russian Federation,7.00278726808368,0.925270020961761,84251.73,19569.0,168.9847242,24.6346,23603.5969263721,3394814.0,92.2,100.0,53.9151916503906,0.52,9.72984772707015
Rwanda,3.07229949519383,0.794449985027313,352.94,14.0,79.86005064,0.445556,129.134239484965,1802.0,34.2,79.0,8.88624000549316,0.87,4.78472979585672
South Asia,46.1818171741838,0.629403893682408,241591.7,23872.0,83.6,3.0,777.361021687779,NONE,NONE,75.0088500976562,29.0444602966309,2.67229279923016,14.017005867553
Saudi Arabia,3.49360866932368,0.564859986305237,25825.3,1398.0,132.3800002,43.5732,431.153021384011,14342.0,100.0,98.0,73.7492065429688,0.4,0.590629141767828
Sudan,0.0588545658356921,0.224999994039536,507.12,153.0,73.96660858,0.0604394,2.13817011125539,107.0,26.4,60.6971817016602,17.2059803009033,0.01,2.20240348221045
Senegal,8.67023419984249,0.577199995517731,450.9,NONE,120.4336409,1.97393,46.1898286899464,835.0,60.6,57.6699981689453,17.2958393096924,0.42,1.60473886534447
Singapore,8.17163164446749,2.15626001358032,12700.34,2024.0,156.4790531,27.1873,228648.442759691,1353061.0,94.3,98.0,98.0222320556641,32.68,56.1383758562278
Solomon Islands,2.71584437796667,NONE,11.06,NONE,66.96324509,0.107033,78.7495078155762,63.0,42.5,77.0,NONE,0.01,1.35922325473902
Sierra Leone,0.378515121886121,NONE,86.77,NONE,97.70150515,0.00227312,13.356165678862,113.0,20.6,48.6399993896484,1.92174005508423,0.02,0.736114020377876
El Salvador,8.2740143730229,0.142800003290176,54.79,2.0,181.6273204,10.6812,181.785792624093,1147.0,67.7,90.0,32.2285118103027,0.4,5.47321599779408
San Marino,NONE,NONE,19.12,7.0,121.8062983,35.7876,32339.0431187242,1095.0,87.0,100.0,51.1357307434082,NONE,NONE
Somalia,NONE,NONE,106.49,1.0,50.25710738,0.668468,10.0770128901336,185.0,27.6,54.0,2.43145990371704,NONE,NONE
Serbia,26.2535842010438,0.950049996376038,5379.47,138.0,123.7205974,31.315,12647.8462092924,83769.0,85.4,99.0,73.2060012817383,1.43,4.54619756956742
Sub-Saharan Africa (excluding high income),6.13839881298505,0.44412568175914,48555.3,NONE,88.555248725729,0.719234083111777,789.229836786599,NONE,NONE,68.1929779052734,9.49602031707764,0.306331268758411,5.16131121847735
South Sudan,7.3564471085076,NONE,16.38,NONE,30.02012982,0.00174165,3.83162648886991,44.0,9.27,34.5227584838867,1.0021733045578,NONE,NONE
Sub-Saharan Africa,5.98687321979323,0.44412568175914,48575.54,1834.0,89.2,0.8,794.155989642794,NONE,NONE,68.1962432861328,9.49664974212646,0.305880470895345,5.13584115149758
Small states,13.4717180814626,NONE,7520.45121701355,NONE,120.2,15.5,56466.625412971,NONE,NONE,87.2802810668945,22.3221206665039,3.3606274473587,15.7122770976414
Sao Tome and Principe,1.89567748972604,NONE,3.8,NONE,86.77896033,2.5014,38.9828085814156,9.0,61.5,93.75,16.6602973937988,0.06,29.2734328924522
Suriname,11.1359778744309,NONE,13.33,NONE,150.2880072,20.026,1388.1689209173,873.0,78.4,95.0,5.9513897895813,0.08,3.21274943551639
Slovak Republic,16.2066411565774,0.979390025138855,5390.39,146.0,131.9254542,33.1726,39911.9913612961,216592.0,89.8,NONE,52.4959106445312,10.48,9.65058093359051
Slovenia,8.36068302333239,2.09524989128113,4073.69,222.0,126.1838135,32.2361,63978.5405154822,135664.0,90.4,99.5999984741211,82.3922576904297,2.17,8.20345582131026
Sweden,21.3856970593815,3.40822005271912,22353.75,1771.0,125.0711442,40.734,52996.3464606147,558403.0,95.7,NONE,83.8976135253906,5.27,17.6225666444459
Eswatini,4.1720618619313,0.267540007829666,43.19,NONE,122.1702298,2.74627,139.779895425134,172.0,57.6,90.7470169067383,6.17659997940063,0.05,0.285307158606886
Sint Maarten (Dutch part),0.423608463602809,NONE,NONE,NONE,195.9076809,NONE,1216.40272287071,52.0,NONE,NONE,3.66427993774414,NONE,NONE
Seychelles,0.560583092295521,0.201700001955032,20.24,3.0,191.50843,30.7719,52607.8498492983,6301.0,87.4,96.1999969482422,14.0341396331787,0.05,0.0384062538993691
Syrian Arab Republic,1.91813899014712,0.0730599984526634,584.3,102.0,79.67746006,6.86125,93.2839655882614,2201.0,34.7,94.0,46.5840187072754,0.02,1.38292716055376
Turks and Caicos Islands,NONE,NONE,NONE,NONE,109.6899733,NONE,735.962595783367,34.0,0.0,NONE,25.2931976318359,1.86,2.19852999029956
Chad,NONE,0.300500005483627,28.87,NONE,68.19628834,0.0,1.24229621062387,24.0,13.2,27.2800006866455,4.53319978713989,NONE,NONE
East Asia & Pacific (IDA & IBRD countries),13.9826239380492,2.5068914287991,991470.328324497,NONE,127.2,32.9,1881.80726800334,NONE,NONE,96.6361923217773,60.9145393371582,23.2262995053781,28.2290045971965
Europe & Central Asia (IDA & IBRD countries),13.3313907293971,0.934067160242349,227899.81,NONE,132.9,23.8,16152.5701739654,NONE,NONE,99.3811874389648,81.4689178466797,2.18664642291566,10.044703108536
Togo,6.92168773862945,0.190740004181862,134.74,NONE,74.18189659,1.22816,91.4627232440098,851.0,37.0,67.0,15.0659399032593,0.13,0.573585599316818
Thailand,0.818271995380878,1.159019947052,18490.53,867.0,176.3169269,16.0162,3002.53401436088,215289.0,89.5,91.0998687744141,46.1752090454102,16.12,28.3057768762254
Tajikistan,2.78930928483358,0.0896899998188019,110.17,1.0,118.8094765,0.0612833,123.775253015001,1286.0,56.8,99.6999969482422,34.6658744812012,0.23,1.62712759033372
Turkmenistan,NONE,0.140000000596046,21.92,44.0,98.62541796,5.21711,138.775015826055,1022.0,21.3,99.4000015258789,18.2516593933105,0.01,NONE
Latin America & the Caribbean (IDA & IBRD countries),7.69283552441271,0.621054626307408,128337.29,NONE,112.3,18.6,3202.31569111557,NONE,NONE,94.7093887329102,58.3366012573242,7.06587458930481,12.3181446399865
Timor-Leste,1.91737688845179,NONE,13.94,NONE,110.4161199,0.00577915,240.557225891181,333.0,34.0,69.9000015258789,30.8398704528809,0.26,NONE
Middle East & North Africa (IDA & IBRD countries),6.7616993074756,0.571260420879059,128915.32,NONE,112.7,10.5,1497.66958184994,NONE,NONE,78.0408401489258,39.7977294921875,1.22022064914527,2.05430478651588
Tonga,13.1558129410573,NONE,4.63,NONE,60.67706123,8.17387,879.566335554557,92.0,58.5,99.4000015258789,51.2195091247559,0.78,2.69650608767328
South Asia (IDA & IBRD),46.1818171741838,0.629403893682408,241591.7,NONE,83.6,3.0,777.361021687779,NONE,NONE,75.0088500976562,29.0444602966309,2.67229279923016,14.017005867553
Sub-Saharan Africa (IDA & IBRD countries),5.98687321979323,0.44412568175914,48575.54,NONE,89.2,0.8,794.155989642794,NONE,NONE,68.1962432861328,9.49664974212646,0.305880470895345,5.13584115149758
Trinidad and Tobago,5.43106111005038,0.047800000756979,261.85,2.0,130.5663978,26.8942,428.516062039766,586.0,84.7,97.9000015258789,11.5449304580688,0.06,1.96311662299562
Tunisia,4.64871425750887,0.746580004692078,5730.03,180.0,129.2577838,14.1436,818.331745821111,9984.0,72.4,85.2149276733398,38.4501686096191,4.26,7.70110744284105
Turkiye,3.99009278631003,1.32342994213104,52657.73,8234.0,105.807654,22.4592,9881.98609883873,843190.0,87.3,97.0,127.577972412109,0.7,5.13574131020756
Tuvalu,6.91485373472703,NONE,0.52,NONE,80.32845412,4.52362,509.372453137734,5.0,74.3,NONE,NONE,7.29,NONE
Tanzania,0.900310176616552,0.514559984207153,1171.41,1.0,91.89984822,2.499,52.5836968683624,3503.0,29.1,82.0199966430664,5.21874570846558,0.13,5.06811053608461
Uganda,2.66313695721108,0.310900002717972,1244.0,14.0,69.986293,0.091297,51.6271163289848,2512.0,15.3,80.5899963378906,4.75620269775391,0.15,1.40810780488794
Ukraine,41.4648837489459,0.326530009508133,13205.56,1302.0,135.025689,19.675,9888.25753781136,373112.0,82.4,100.0,75.9079437255859,0.91,6.68812192869261
Upper middle income,11.5974711550304,2.12107554976819,1275690.21,1391200.0,126.5,29.8,2960.87316175393,NONE,80.7,95.6195220947266,63.9436798095703,17.2107997851032,22.1077406670143
Uruguay,18.3939643143061,0.625919997692108,1057.66,23.0,138.526391,32.4022,4353.20170916811,14749.0,89.9,99.0,76.3977432250977,0.07,10.7072308737214
United States,6.88003911969008,3.58623003959656,457335.25,262244.0,110.1664718,38.0508,187747.203659007,62879335.0,93.1,NONE,79.361930847168,7.85,24.322982844202
Uzbekistan,8.11660704896229,0.125269994139671,2187.4,413.0,103.0681174,30.2699,823.873753807853,29373.0,89.0,100.0,45.8428611755371,0.53,2.82239070122292
St. Vincent and the Grenadines,1.76899782531243,0.113899998366833,8.36,NONE,100.4617693,30.4936,167.780267066707,17.0,76.0,96.9000015258789,40.9883728027344,0.41,4.93442861881868
"Venezuela, RB",4.98054474708171,0.689999997615814,512.19,96.0,63.41889546,9.58036,223.456154361985,6324.0,61.6,97.5999984741211,78.7361907958984,0.0,NONE
British Virgin Islands,NONE,NONE,NONE,NONE,120.9465973,17.8084,1982403.48852123,77284.0,77.7,NONE,29.4202194213867,NONE,NONE
Virgin Islands (U.S.),NONE,0.0271700005978346,NONE,NONE,79.92726619,10.0662,305.003002373305,32.0,64.4,NONE,51.1815185546875,NONE,NONE
Viet Nam,NONE,0.42493999004364,10530.19,1066.0,139.9496874,22.6807,5256.30770476842,527482.0,78.1,96.0,42.2242393493652,38.0,42.689178907016
Vanuatu,8.2179112571746,NONE,14.7,NONE,78.19948583,1.12635,1635.4097419236,524.0,45.7,89.0999984741211,4.88091993331909,0.04,NONE
World,14.5745748820032,2.67522105943172,3338192.0931256,2385200.0,110.6,18.4280795371296,15472.2750044228,12484073.0,67.6,87.3560028076172,43.272331237793,11.919278649539,22.7112676758947
Samoa,6.74463677303409,NONE,16.2,1.0,60.40057199,0.877539,618.472004910852,134.0,58.1,99.0999984741211,13.4067001342773,0.04,5.7420173193689
Kosovo,9.62244389888138,NONE,428.36,NONE,32.30209935,NONE,NONE,NONE,89.4,NONE,NONE,NONE,NONE
"Yemen, Rep.",25.363345481351,NONE,415.15,20.0,46.0195416,1.27124,6.95593912679964,274.0,13.8,54.0999984741211,9.31793022155762,0.08,4.82928415383478
South Africa,9.37650031541184,0.617290019989014,16651.13,1804.0,167.3958702,3.40566,14786.991738834,934721.0,75.7,90.0,27.1743202209473,0.71,5.70575841482322
Zambia,2.68120744982854,0.278189986944199,344.27,13.0,99.10241824,0.477471,54.9605251697733,1139.0,33.0,87.5,3.97994995117188,0.03,1.16356588883727
Zimbabwe,3.87019418654021,NONE,563.05,8.0,87.62450647,1.64735,89.3467905102938,1460.0,38.4,89.8499984741211,9.72360515594482,0.02,1.94218828246376
